lot_wafer,chip_id,model_vdd_v,rsnm_mv,wsnm_mv,write_margin_mv,cell_ratio_beta,pull_up_ratio_beta,pu_vt_v,pu_idsat_ua,pg_vt_v,pg_idsat_ua,pd_vt_v,pd_idsat_ua
DEMO28_TT_W01,CHIP_01,0.40,91.000,187.000,71.305,2.100614,9.402030,0.385,0.03733,0.365,0.35095,0.355,0.84538
DEMO28_TT_W01,CHIP_01,0.45,109.125,205.875,43.041,1.489147,1.874530,0.385,0.70091,0.365,2.06988,0.355,3.76770
DEMO28_TT_W01,CHIP_01,0.50,122.500,221.875,49.969,1.461913,1.746741,0.385,2.19399,0.365,5.22124,0.355,8.77738
DEMO28_TT_W01,CHIP_01,0.56,139.300,239.400,62.526,1.457776,1.729187,0.385,5.08059,0.365,10.89370,0.355,17.54431
DEMO28_TT_W01,CHIP_01,0.60,150.750,251.250,71.690,1.457358,1.727486,0.385,7.66858,0.365,15.82129,0.355,25.05883
DEMO28_TT_W01,CHIP_01,0.68,171.700,274.550,90.569,1.457222,1.726946,0.385,14.43718,0.365,28.42676,0.355,44.09561
DEMO28_TT_W01,CHIP_01,0.80,194.000,311.000,112.798,1.457211,1.726904,0.385,28.57159,0.365,54.21067,0.355,82.67015
DEMO28_TT_W01,CHIP_01,0.90,204.750,340.875,125.422,1.457211,1.726904,0.385,44.00000,0.365,82.00000,0.355,124.00000
DEMO28_TT_W01,CHIP_01,1.00,212.500,371.250,136.176,1.457211,1.726904,0.385,62.74635,0.365,115.51908,0.355,173.67932
DEMO28_TT_W01,CHIP_01,1.20,222.000,432.000,154.292,1.457211,1.726904,0.385,110.19286,0.365,199.74653,0.355,298.08636
