chip_location,x,y
X10Y10,10,10
X11Y10,11,10
X12Y10,12,10
X13Y10,13,10
X8Y11,8,11
X9Y11,9,11
X10Y11,10,11
X11Y11,11,11
X12Y11,12,11
X13Y11,13,11
X14Y11,14,11
X15Y11,15,11
X7Y12,7,12
X8Y12,8,12
X9Y12,9,12
X10Y12,10,12
X11Y12,11,12
X12Y12,12,12
X13Y12,13,12
X14Y12,14,12
X15Y12,15,12
X16Y12,16,12
X7Y13,7,13
X8Y13,8,13
X9Y13,9,13
X10Y13,10,13
X11Y13,11,13
X12Y13,12,13
X13Y13,13,13
X14Y13,14,13
X15Y13,15,13
X16Y13,16,13
X7Y14,7,14
X8Y14,8,14
X9Y14,9,14
X10Y14,10,14
X11Y14,11,14
X12Y14,12,14
X13Y14,13,14
X14Y14,14,14
X15Y14,15,14
X16Y14,16,14
X7Y15,7,15
X8Y15,8,15
X9Y15,9,15
X10Y15,10,15
X11Y15,11,15
X12Y15,12,15
X13Y15,13,15
X14Y15,14,15
X15Y15,15,15
X16Y15,16,15
X8Y16,8,16
X9Y16,9,16
X10Y16,10,16
X11Y16,11,16
X12Y16,12,16
X13Y16,13,16
X14Y16,14,16
X15Y16,15,16
X10Y17,10,17
X11Y17,11,17
X12Y17,12,17
X13Y17,13,17
